ia_sacarina                                   | Sacarina                            | dup_id=False dup_nombre=False usado_en_receta=False
ia_sal                                        | Sal                                 | dup_id=False dup_nombre=False usado_en_receta=False
ia_tortilla_de_patata                         | Tortilla de patata                  | dup_id=False dup_nombre=False usado_en_receta=False
ia_agua                                       | Agua                                | dup_id=False dup_nombre=False usado_en_receta=True
ia_caldo_de_verduras                          | Caldo de verduras                   | dup_id=False dup_nombre=False usado_en_receta=True
ia_lentejas                                   | Lentejas                            | dup_id=False dup_nombre=False usado_en_receta=True
ia_patata                                     | Patata                              | dup_id=False dup_nombre=False usado_en_receta=True
ia_curry                                      | Curry en polvo                      | dup_id=False dup_nombre=False usado_en_receta=False
ia_granada                                    | Granada                             | dup_id=False dup_nombre=False usado_en_receta=True
ia_levadura                                   | Levadura Nutricional                | dup_id=False dup_nombre=False usado_en_receta=False
ia_lichi                                      | Lichi                               | dup_id=False dup_nombre=False usado_en_receta=False
ia_semillas_de_ch_a                           | Semillas de chía                    | dup_id=False dup_nombre=False usado_en_receta=False
ia_edamame                                    | Edamame                             | dup_id=False dup_nombre=True usado_en_receta=False
ia_huevo_de_codorniz                          | Huevo de codorniz                   | dup_id=False dup_nombre=False usado_en_receta=False
ia_cacahuetes                                 | Cacahuetes                          | dup_id=False dup_nombre=False usado_en_receta=False
ia_coco                                       | Coco                                | dup_id=False dup_nombre=False usado_en_receta=False
ia_pipas_de_calabaza                          | Pipas de calabaza                   | dup_id=False dup_nombre=False usado_en_receta=True
ia_platano                                    | Plátano                             | dup_id=False dup_nombre=False usado_en_receta=True
ia_tempeh                                     | Tempeh                              | dup_id=False dup_nombre=False usado_en_receta=False
